iter	Passed	Remaining
0	9	9466
1	19	9814
2	30	10057
3	41	10297
4	51	10292
5	61	10119
6	70	10056
7	80	9982
8	90	9952
9	100	9945
10	109	9851
11	119	9843
12	129	9799
13	138	9786
14	148	9755
15	158	9726
16	168	9727
17	178	9756
18	188	9752
19	199	9769
20	209	9760
21	219	9746
22	229	9733
23	239	9723
24	249	9719
25	258	9697
26	268	9673
27	277	9644
28	286	9608
29	296	9591
30	306	9589
31	316	9579
32	325	9539
33	336	9569
34	346	9543
35	356	9536
36	362	9446
37	371	9413
38	378	9326
39	388	9313
40	397	9298
41	407	9286
42	416	9276
43	423	9203
44	429	9118
45	439	9115
46	449	9119
47	454	9014
48	464	9006
49	467	8884
50	477	8876
51	484	8834
52	489	8741
53	494	8658
54	503	8644
55	512	8643
56	530	8768
57	540	8783
58	550	8784
59	560	8787
60	567	8735
61	571	8638
62	579	8626
63	585	8558
64	590	8500
65	600	8494
66	610	8496
67	613	8402
68	621	8386
69	631	8388
70	637	8343
71	646	8337
72	656	8338
73	666	8343
74	676	8342
75	686	8347
76	696	8352
77	706	8352
78	716	8350
79	725	8348
80	751	8527
81	761	8527
82	771	8519
83	780	8513
84	783	8437
85	792	8424
86	803	8427
87	813	8428
88	822	8419
89	831	8411
90	842	8414
91	852	8412
92	861	8405
93	866	8350
94	875	8339
95	885	8337
96	895	8338
97	905	8333
98	915	8332
99	925	8328
100	935	8329
101	947	8340
102	958	8345
103	968	8346
104	979	8347
105	989	8343
106	999	8340
107	1009	8338
108	1019	8337
109	1024	8286
110	1033	8279
111	1045	8290
112	1057	8298
113	1069	8308
114	1079	8307
115	1090	8309
116	1100	8307
117	1111	8305
118	1121	8302
119	1130	8293
120	1140	8287
121	1151	8284
122	1161	8279
123	1170	8270
124	1180	8265
125	1191	8262
126	1201	8261
127	1211	8254
128	1221	8249
129	1231	8241
130	1241	8234
131	1251	8226
132	1260	8219
133	1271	8218
134	1281	8213
135	1292	8208
136	1301	8198
137	1311	8189
138	1320	8179
139	1330	8170
140	1339	8159
141	1349	8151
142	1358	8144
143	1368	8135
144	1378	8129
145	1388	8119
146	1397	8110
147	1407	8103
148	1417	8096
149	1427	8091
150	1437	8085
151	1447	8077
152	1458	8074
153	1469	8071
154	1480	8072
155	1490	8064
156	1500	8055
157	1510	8048
158	1520	8041
159	1529	8030
160	1539	8023
161	1549	8015
162	1559	8010
163	1569	8002
164	1579	7994
165	1589	7985
166	1599	7978
167	1609	7969
168	1619	7961
169	1629	7955
170	1639	7946
171	1649	7938
172	1658	7929
173	1668	7922
174	1678	7914
175	1689	7907
176	1698	7899
177	1708	7888
178	1718	7881
179	1728	7875
180	1738	7865
181	1747	7855
182	1757	7847
